t,frame,x,y,yaw,gt_x,gt_y,gt_yaw
0.110,odom,2.5000,2.5000,0.0000,2.5000,2.5000,0.0000
0.200,odom,2.5000,2.5000,0.0000,2.5000,2.5000,0.0000
0.300,odom,2.5000,2.5000,0.0000,2.5000,2.5000,0.0000
0.400,odom,2.5000,2.5000,0.0037,2.5000,2.5000,0.0037
0.500,odom,2.5000,2.5000,0.0218,2.5000,2.5000,0.0218
0.600,odom,2.5000,2.5000,0.0545,2.5000,2.5000,0.0550
0.700,odom,2.5000,2.5000,0.1030,2.5000,2.5000,0.1031
0.800,odom,2.5000,2.5000,0.1663,2.5000,2.5000,0.1667
0.900,odom,2.5000,2.5000,0.2441,2.5000,2.5000,0.2452
1.000,odom,2.5000,2.5000,0.3343,2.5000,2.5000,0.3347
1.100,odom,2.5000,2.5000,0.4239,2.5000,2.5000,0.4247
1.200,odom,2.5000,2.5000,0.5136,2.5000,2.5000,0.5147
1.300,odom,2.5000,2.5000,0.6040,2.5000,2.5000,0.6047
1.400,odom,2.5000,2.5000,0.6960,2.5000,2.5000,0.6947
1.500,odom,2.5000,2.5000,0.7874,2.5000,2.5000,0.7847
1.600,odom,2.5000,2.5000,0.8785,2.5000,2.5000,0.8747
1.700,odom,2.5000,2.5000,0.9678,2.5000,2.5000,0.9647
1.800,odom,2.5000,2.5000,1.0586,2.5000,2.5000,1.0547
1.900,odom,2.5000,2.5000,1.1490,2.5000,2.5000,1.1446
2.000,odom,2.5000,2.5000,1.2390,2.5000,2.5000,1.2346
2.110,odom,2.5000,2.5000,1.3396,2.5000,2.5000,1.3336
2.210,odom,2.5000,2.5000,1.4380,2.5000,2.5000,1.4326
2.310,odom,2.5000,2.5000,1.5277,2.5000,2.5000,1.5226
2.410,odom,2.5000,2.5000,1.6079,2.5000,2.5000,1.6036
2.510,odom,2.5000,2.5000,1.6980,2.5000,2.5000,1.6936
2.610,odom,2.5000,2.5000,1.7870,2.5000,2.5000,1.7836
2.710,map,2.5000,2.5000,1.8779,2.5000,2.5000,1.8736
2.810,map,2.4989,2.5030,1.9669,2.4989,2.5030,1.9634
2.910,map,2.4954,2.5104,2.0458,2.4954,2.5104,2.0435
3.010,map,2.4888,2.5221,2.1109,2.4889,2.5221,2.1090
3.110,map,2.4789,2.5376,2.1620,2.4790,2.5377,2.1597
3.210,map,2.4655,2.5567,2.1975,2.4656,2.5570,2.1954
3.310,map,2.4488,2.5793,2.2188,2.4488,2.5796,2.2169
3.410,map,2.4288,2.6055,2.2251,2.4286,2.6062,2.2228
3.510,map,2.4060,2.6353,2.2173,2.4056,2.6364,2.2148
3.610,map,2.3807,2.6696,2.1941,2.3804,2.6708,2.1913
3.710,map,2.3573,2.7034,2.1558,2.3569,2.7050,2.1520
3.810,map,2.3372,2.7355,2.1027,2.3368,2.7374,2.0980
3.910,map,2.3189,2.7691,2.0379,2.3185,2.7713,2.0327
4.010,map,2.3021,2.8054,1.9681,2.3018,2.8079,1.9633
4.110,map,2.2873,2.8441,1.9103,2.2871,2.8469,1.9046
4.210,map,2.2743,2.8841,1.8591,2.2743,2.8872,1.8522
4.310,map,2.2630,2.9256,1.8161,2.2633,2.9289,1.8085
4.410,map,2.2532,2.9682,1.7793,2.2538,2.9716,1.7717
4.510,map,2.2447,3.0119,1.7488,2.2457,3.0149,1.7405
4.610,map,2.2375,3.0555,1.7204,2.2389,3.0585,1.7126
4.710,map,2.2326,3.1045,1.6935,2.2325,3.1071,1.6894
4.810,map,2.2279,3.1447,1.6800,2.2280,3.1472,1.6757
4.910,map,2.2234,3.1889,1.6665,2.2236,3.1918,1.6624
5.010,map,2.2194,3.2334,1.6545,2.2198,3.2365,1.6506
5.110,map,2.2159,3.2777,1.6446,2.2165,3.2813,1.6405
5.210,map,2.2128,3.3225,1.6366,2.2135,3.3261,1.6325
5.310,map,2.2100,3.3674,1.6300,2.2109,3.3710,1.6258
5.410,map,2.2074,3.4126,1.6247,2.2086,3.4159,1.6201
5.510,map,2.2051,3.4579,1.6193,2.2065,3.4608,1.6153
5.610,map,2.2030,3.5028,1.6150,2.2045,3.5058,1.6113
5.710,map,2.2011,3.5477,1.6115,2.2028,3.5507,1.6080
5.810,map,2.1991,3.5975,1.6087,2.2012,3.5957,1.6053
5.910,map,2.1976,3.6379,1.6068,2.1997,3.6406,1.6030
6.010,map,2.1961,3.6934,1.6045,2.1983,3.6856,1.6011
6.110,map,2.1946,3.7384,1.6033,2.1970,3.7306,1.5997
6.210,map,2.1931,3.7836,1.6022,2.1957,3.7756,1.5985
6.310,map,2.1917,3.8288,1.6011,2.1945,3.8206,1.5974
6.410,map,2.1904,3.8737,1.5999,2.1933,3.8655,1.5965
6.510,map,2.1890,3.9234,1.5991,2.1920,3.9150,1.5958
6.610,map,2.1878,3.9640,1.5982,2.1910,3.9555,1.5952
6.710,map,2.1866,4.0093,1.5974,2.1899,4.0005,1.5947
6.810,map,2.1853,4.0586,1.5972,2.1889,4.0455,1.5944
6.910,map,2.1843,4.0991,1.5969,2.1878,4.0905,1.5942
