t,frame,x,y,yaw,gt_x,gt_y,gt_yaw
0.380,odom,2.5000,2.5000,0.0000,2.5000,2.5000,0.0000
0.440,odom,2.5000,2.5000,0.0000,2.5000,2.5000,0.0000
0.500,odom,2.5000,2.5000,0.0000,2.5000,2.5000,0.0000
0.600,map,2.5000,2.5000,0.0169,2.5000,2.5000,0.0171
0.700,map,2.5000,2.5000,0.0474,2.5000,2.5000,0.0473
0.800,map,2.5000,2.5000,0.0927,2.5000,2.5000,0.0924
0.900,map,2.5000,2.5000,0.1530,2.5000,2.5000,0.1526
1.000,map,2.5000,2.5000,0.2288,2.5000,2.5000,0.2277
1.100,map,2.5000,2.5000,0.3178,2.5000,2.5000,0.3159
1.200,map,2.5000,2.5000,0.4079,2.5000,2.5000,0.4059
1.300,map,2.5000,2.5000,0.4969,2.5000,2.5000,0.4959
1.400,map,2.5000,2.5000,0.5876,2.5000,2.5000,0.5859
1.500,map,2.5000,2.5000,0.6772,2.5000,2.5000,0.6759
1.600,map,2.5000,2.5000,0.7665,2.5000,2.5000,0.7659
1.700,map,2.5000,2.5000,0.8567,2.5000,2.5000,0.8559
1.800,map,2.5000,2.5000,0.9475,2.5000,2.5000,0.9459
1.900,map,2.5003,2.5005,1.0368,2.5003,2.5005,1.0359
2.000,map,2.5026,2.5048,1.1258,2.5026,2.5049,1.1253
2.110,map,2.5069,2.5151,1.2159,2.5069,2.5152,1.2142
2.210,map,2.5115,2.5293,1.2847,2.5116,2.5294,1.2824
2.310,map,2.5166,2.5488,1.3408,2.5167,2.5487,1.3381
2.410,map,2.5217,2.5732,1.3864,2.5219,2.5731,1.3845
2.510,map,2.5266,2.6026,1.4248,2.5268,2.6027,1.4235
2.610,map,2.5310,2.6373,1.4577,2.5313,2.6373,1.4563
2.710,map,2.5349,2.6766,1.4848,2.5353,2.6771,1.4840
2.810,map,2.5382,2.7204,1.5078,2.5386,2.7210,1.5073
2.910,map,2.5405,2.7646,1.5281,2.5410,2.7655,1.5271
3.010,map,2.5420,2.8090,1.5448,2.5426,2.8102,1.5438
3.110,map,2.5429,2.8533,1.5587,2.5434,2.8550,1.5578
3.210,map,2.5431,2.8980,1.5704,2.5438,2.8999,1.5697
3.310,map,2.5429,2.9429,1.5809,2.5436,2.9448,1.5798
3.410,map,2.5423,2.9878,1.5892,2.5430,2.9897,1.5883
3.510,map,2.5413,3.0325,1.5963,2.5420,3.0346,1.5955
3.610,map,2.5400,3.0777,1.6026,2.5408,3.0796,1.6016
3.710,map,2.5384,3.1231,1.6078,2.5393,3.1245,1.6067
3.810,map,2.5366,3.1683,1.6122,2.5375,3.1695,1.6110
3.910,map,2.5347,3.2135,1.6157,2.5357,3.2144,1.6147
4.010,map,2.5326,3.2589,1.6189,2.5336,3.2594,1.6178
4.110,map,2.5303,3.3036,1.6214,2.5314,3.3043,1.6204
4.210,map,2.5280,3.3486,1.6234,2.5292,3.3492,1.6226
4.310,map,2.5256,3.3931,1.6256,2.5268,3.3942,1.6245
4.410,map,2.5231,3.4381,1.6273,2.5243,3.4391,1.6261
4.510,map,2.5205,3.4833,1.6282,2.5218,3.4840,1.6275
4.610,map,2.5179,3.5281,1.6294,2.5192,3.5290,1.6286
4.710,map,2.5152,3.5734,1.6304,2.5166,3.5739,1.6296
4.810,map,2.5125,3.6183,1.6313,2.5139,3.6188,1.6304
4.910,map,2.5098,3.6628,1.6323,2.5112,3.6637,1.6312
5.010,map,2.5070,3.7080,1.6329,2.5085,3.7086,1.6317
5.110,map,2.5043,3.7525,1.6335,2.5058,3.7536,1.6322
5.210,map,2.5014,3.7970,1.6340,2.5030,3.7985,1.6326
5.310,map,2.4986,3.8419,1.6344,2.5002,3.8434,1.6329
5.410,map,2.4957,3.8871,1.6347,2.4974,3.8883,1.6331
5.510,map,2.4928,3.9321,1.6355,2.4946,3.9332,1.6333
5.610,map,2.4899,3.9772,1.6354,2.4918,3.9781,1.6334
5.710,map,2.4870,4.0222,1.6353,2.4890,4.0230,1.6334
5.810,map,2.4841,4.0669,1.6351,2.4862,4.0679,1.6335
5.910,map,2.4812,4.1121,1.6356,2.4833,4.1129,1.6336
6.010,map,2.4783,4.1567,1.6358,2.4805,4.1578,1.6337
6.110,map,2.4754,4.2015,1.6358,2.4777,4.2027,1.6337
6.210,map,2.4724,4.2466,1.6358,2.4749,4.2476,1.6337
6.310,map,2.4695,4.2915,1.6357,2.4720,4.2925,1.6337
6.410,map,2.4666,4.3362,1.6361,2.4692,4.3374,1.6337
6.510,map,2.4636,4.3812,1.6360,2.4664,4.3823,1.6337
6.610,map,2.4607,4.4259,1.6360,2.4635,4.4272,1.6336
6.710,map,2.4578,4.4708,1.6359,2.4607,4.4721,1.6336
6.810,map,2.4549,4.5152,1.6359,2.4579,4.5171,1.6336
6.910,map,2.4520,4.5602,1.6361,2.4551,4.5620,1.6336
7.010,map,2.4490,4.6055,1.6362,2.4522,4.6069,1.6336
7.110,map,2.4460,4.6507,1.6366,2.4494,4.6518,1.6336
7.210,map,2.4430,4.6960,1.6367,2.4466,4.6967,1.6335
7.310,map,2.4401,4.7414,1.6366,2.4438,4.7416,1.6333
7.410,map,2.4371,4.7864,1.6366,2.4410,4.7865,1.6332
7.510,map,2.4341,4.8315,1.6363,2.4382,4.8314,1.6331
7.610,map,2.4312,4.8760,1.6360,2.4354,4.8763,1.6330
7.710,map,2.4283,4.9210,1.6361,2.4326,4.9213,1.6330
7.810,map,2.4253,4.9662,1.6359,2.4298,4.9662,1.6329
7.910,map,2.4224,5.0108,1.6359,2.4270,5.0111,1.6329
8.010,map,2.4195,5.0560,1.6359,2.4242,5.0560,1.6329
8.110,map,2.4166,5.1007,1.6358,2.4214,5.1009,1.6329
8.210,map,2.4137,5.1454,1.6360,2.4186,5.1458,1.6329
8.310,map,2.4125,5.1906,1.6364,2.4158,5.1907,1.6329
8.410,map,2.4177,5.2356,1.6365,2.4130,5.2357,1.6328
8.510,map,2.4148,5.2807,1.6367,2.4102,5.2806,1.6329
8.610,map,2.4118,5.3249,1.6368,2.4074,5.3255,1.6330
8.710,map,2.4089,5.3698,1.6367,2.4046,5.3704,1.6331
